id,title,support_level,n_or_pair_count,summary,note
E01,历史特异性局部结构复用,strong_evidence,2,experiments\E01\tables\summary.json,严格交叉 probe 设计，样本规模小但因果控制强；正文使用时避免把它写成统计规模证据。
E02,稳定句壳下标签替换导致结构生长,strong_evidence,48,experiments\E02\tables\summary.json,仅保留 holdout 长句壳确认批次；开发扫描和烟雾测试不进入主索引。
E03,教师奖惩信号的局部塑形,strong_evidence,12,experiments\E03\tables\summary.json,
E04,惩罚与奖励的双向纠偏,strong_evidence,12,experiments\E04\tables\summary.json,
E05,行动执行后的可复用准备痕迹,strong_evidence,12,experiments\E05\tables\summary.json,
E06,时间间隔感受的注册、到期与回投,strong_evidence,12,experiments\E06\tables\summary.json,
E07,复杂度状态调制下一拍注意力预算,strong_evidence,36,experiments\E07\tables\summary.json,
E08,时间显影下残差记忆受控晋升,strong_evidence,48,experiments\E08\tables\summary.json,
E09,恢复类认知感受的条件分层,strong_evidence,84,experiments\E09\tables\summary.json,
E10,重复、疲劳与恢复后的再出现,strong_evidence,12,experiments\E10\tables\summary.json,
E11,有限分层能量图景与阈值剪枝,strong_evidence,72,experiments\E11\tables\summary.json,
E12,结构过程态与记忆目标态,strong_evidence,48,experiments\E12\tables\summary.json,
E13,Agent 场景下的可审计记忆投影,strong_evidence,12,experiments\E13\tables\summary.json,
E14,奖惩状态对行动阈值与局部驱动力的调制,strong_evidence,144,experiments\E14\tables\summary.json,
E15,自适应调参器的方向稳定性,strong_evidence,96,experiments\E15\tables\summary.json,
E16,多来源属性化接地入口与锚点隔离,strong_evidence,72,experiments\E16\tables\summary.json,
E17,内部候选链的跨拍承接与续写,strong_evidence,192,experiments\E17\tables\summary.json,
