case_id,replicate,start_key,repeat_label,switch_label,template,repeat_first_text,switch_first_text,repeat_second_text,switch_second_text,repeat_run_id,switch_run_id,first_text_identical_by_design,same_template_by_design,label_len_equal,second_text_len_equal,changed_char_count,nonlabel_char_diff_count,only_label_changed,repeat_first_text_len,repeat_second_text_len,switch_second_text_len,repeat_induction_growth_identity_created_count,switch_induction_growth_identity_created_count,diff_switch_minus_repeat__induction_growth_identity_created_count,supports__induction_growth_identity_created_count,repeat_hdb_structure_count,switch_hdb_structure_count,diff_switch_minus_repeat__hdb_structure_count,supports__hdb_structure_count,repeat_hdb_residual_diff_entry_count,switch_hdb_residual_diff_entry_count,diff_switch_minus_repeat__hdb_residual_diff_entry_count,supports__hdb_residual_diff_entry_count,repeat_hdb_diff_entry_with_memory_ref_count,switch_hdb_diff_entry_with_memory_ref_count,diff_switch_minus_repeat__hdb_diff_entry_with_memory_ref_count,supports__hdb_diff_entry_with_memory_ref_count,supports_design_control,supports_growth_core,supports_growth_strict,supports_core_pattern,supports_strict_pattern
H01,1,A,辰栈,陌钥,请重新登记代号{label}。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号陌钥。,paper_e02_switch_H01_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H01,1,B,陌钥,辰栈,请重新登记代号{label}。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号辰栈。,paper_e02_switch_H01_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H01,2,A,辰栈,陌钥,请重新登记代号{label}。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号陌钥。,paper_e02_switch_H01_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H01,2,B,陌钥,辰栈,请重新登记代号{label}。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号辰栈。,paper_e02_switch_H01_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H01,3,A,辰栈,陌钥,请重新登记代号{label}。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号辰栈。,请重新登记代号陌钥。,paper_e02_switch_H01_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H01,3,B,陌钥,辰栈,请重新登记代号{label}。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号陌钥。,请重新登记代号辰栈。,paper_e02_switch_H01_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H01_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,1,A,霁函,岚策,请当场核对样本{label}。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本岚策。,paper_e02_switch_H02_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,1,B,岚策,霁函,请当场核对样本{label}。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本霁函。,paper_e02_switch_H02_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,2,A,霁函,岚策,请当场核对样本{label}。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本岚策。,paper_e02_switch_H02_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,2,B,岚策,霁函,请当场核对样本{label}。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本霁函。,paper_e02_switch_H02_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,3,A,霁函,岚策,请当场核对样本{label}。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本霁函。,请当场核对样本岚策。,paper_e02_switch_H02_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H02,3,B,岚策,霁函,请当场核对样本{label}。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本岚策。,请当场核对样本霁函。,paper_e02_switch_H02_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H02_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H03,1,A,衡阈,舟岚,现在立即标记项目{label}。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目舟岚。,paper_e02_switch_H03_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H03,1,B,舟岚,衡阈,现在立即标记项目{label}。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目衡阈。,paper_e02_switch_H03_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H03,2,A,衡阈,舟岚,现在立即标记项目{label}。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目舟岚。,paper_e02_switch_H03_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
