target_ref_id,distractor_ref_id,target_item_id,distractor_item_id,base_success,family,branch,branch_label,apply_success,case_ok,target_packet_attr_names,distractor_packet_attr_names,expected_packet_attr_names,packet_anchor_ok,target_pollution_quiet,folded_control_attr_items_absent,target_snapshot_all_attrs,distractor_snapshot_all_attrs,attr_item_present_ratio,attr_item_modality_ok_ratio,attr_item_source_ok_ratio,attr_item_parent_ok_ratio,attr_item_value_ok_ratio,attr_item_energy_ok_ratio,attr_item_signature_parent_ok_ratio,attr_item_ids,bind_success,bind_code,runtime_bind_ok,expected_runtime_attr_names,quiet_runtime_attr_names,target_runtime_attr_names,distractor_runtime_attr_names,runtime_quiet_ok,invalid_role_rejected
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000001,spi_20260512055508_000002,True,F01,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_color|visual_position,,tactile_pressure|visual_color|visual_position,1,1,0,tactile_pressure|visual_color|visual_position,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F01_packet_visual_primary|sa_e16_F01_packet_visual_spatial|sa_e16_F01_packet_tactile_pressure,,,,,,,,,
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000006,spi_20260512055508_000007,True,F01,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_color|visual_position,tactile_pressure|visual_color|visual_position,1,1,0,,tactile_pressure|visual_color|visual_position,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F01_packet_visual_primary|sa_e16_F01_packet_visual_spatial|sa_e16_F01_packet_tactile_pressure,,,,,,,,,
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000011,spi_20260512055508_000012,True,F01,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_color|visual_position,,tactile_pressure|visual_color|visual_position,1,1,1,tactile_pressure|visual_color|visual_position,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F01_packet_visual_primary|sa_e16_F01_packet_visual_spatial|sa_e16_F01_packet_tactile_pressure,,,,,,,,,
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000013,spi_20260512055508_000014,True,F01,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_result,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F01_runtime_tool_binding_tool_attr,1,OK,1,tool_result,,tool_result,,1,0
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000016,spi_20260512055508_000017,True,F01,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_result,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F01_runtime_wrong_target_control_tool_attr,1,OK,1,tool_result,,,tool_result,1,0
sa_e16_F01_target,sa_e16_F01_distractor,spi_20260512055508_000019,spi_20260512055508_000020,True,F01,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F01_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055508_000021,spi_20260512055508_000022,True,F02,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_color|visual_position,,tactile_pressure|visual_color|visual_position,1,1,0,tactile_pressure|visual_color|visual_position,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F02_packet_visual_primary|sa_e16_F02_packet_visual_spatial|sa_e16_F02_packet_tactile_pressure,,,,,,,,,
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055508_000026,spi_20260512055508_000027,True,F02,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_color|visual_position,tactile_pressure|visual_color|visual_position,1,1,0,,tactile_pressure|visual_color|visual_position,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F02_packet_visual_primary|sa_e16_F02_packet_visual_spatial|sa_e16_F02_packet_tactile_pressure,,,,,,,,,
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055508_000031,spi_20260512055508_000032,True,F02,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_color|visual_position,,tactile_pressure|visual_color|visual_position,1,1,1,tactile_pressure|visual_color|visual_position,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F02_packet_visual_primary|sa_e16_F02_packet_visual_spatial|sa_e16_F02_packet_tactile_pressure,,,,,,,,,
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055508_000033,spi_20260512055508_000034,True,F02,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_result,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F02_runtime_tool_binding_tool_attr,1,OK,1,tool_result,,tool_result,,1,0
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055508_000036,spi_20260512055508_000037,True,F02,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_result,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F02_runtime_wrong_target_control_tool_attr,1,OK,1,tool_result,,,tool_result,1,0
sa_e16_F02_target,sa_e16_F02_distractor,spi_20260512055509_000039,spi_20260512055509_000040,True,F02,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F02_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000041,spi_20260512055509_000042,True,F03,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_position|visual_shape,,tactile_pressure|visual_position|visual_shape,1,1,0,tactile_pressure|visual_position|visual_shape,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F03_packet_visual_primary|sa_e16_F03_packet_visual_spatial|sa_e16_F03_packet_tactile_pressure,,,,,,,,,
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000046,spi_20260512055509_000047,True,F03,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_position|visual_shape,tactile_pressure|visual_position|visual_shape,1,1,0,,tactile_pressure|visual_position|visual_shape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F03_packet_visual_primary|sa_e16_F03_packet_visual_spatial|sa_e16_F03_packet_tactile_pressure,,,,,,,,,
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000051,spi_20260512055509_000052,True,F03,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_position|visual_shape,,tactile_pressure|visual_position|visual_shape,1,1,1,tactile_pressure|visual_position|visual_shape,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F03_packet_visual_primary|sa_e16_F03_packet_visual_spatial|sa_e16_F03_packet_tactile_pressure,,,,,,,,,
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000053,spi_20260512055509_000054,True,F03,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_result,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F03_runtime_tool_binding_tool_attr,1,OK,1,tool_result,,tool_result,,1,0
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000056,spi_20260512055509_000057,True,F03,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_result,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F03_runtime_wrong_target_control_tool_attr,1,OK,1,tool_result,,,tool_result,1,0
sa_e16_F03_target,sa_e16_F03_distractor,spi_20260512055509_000059,spi_20260512055509_000060,True,F03,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F03_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000061,spi_20260512055509_000062,True,F04,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_position|visual_shape,,tactile_pressure|visual_position|visual_shape,1,1,0,tactile_pressure|visual_position|visual_shape,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F04_packet_visual_primary|sa_e16_F04_packet_visual_spatial|sa_e16_F04_packet_tactile_pressure,,,,,,,,,
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000066,spi_20260512055509_000067,True,F04,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_position|visual_shape,tactile_pressure|visual_position|visual_shape,1,1,0,,tactile_pressure|visual_position|visual_shape,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F04_packet_visual_primary|sa_e16_F04_packet_visual_spatial|sa_e16_F04_packet_tactile_pressure,,,,,,,,,
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000071,spi_20260512055509_000072,True,F04,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_position|visual_shape,,tactile_pressure|visual_position|visual_shape,1,1,1,tactile_pressure|visual_position|visual_shape,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F04_packet_visual_primary|sa_e16_F04_packet_visual_spatial|sa_e16_F04_packet_tactile_pressure,,,,,,,,,
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000073,spi_20260512055509_000074,True,F04,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_result,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F04_runtime_tool_binding_tool_attr,1,OK,1,tool_result,,tool_result,,1,0
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000076,spi_20260512055509_000077,True,F04,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_result,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F04_runtime_wrong_target_control_tool_attr,1,OK,1,tool_result,,,tool_result,1,0
sa_e16_F04_target,sa_e16_F04_distractor,spi_20260512055509_000079,spi_20260512055509_000080,True,F04,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F04_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000081,spi_20260512055509_000082,True,F05,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_position|visual_texture,,tactile_pressure|visual_position|visual_texture,1,1,0,tactile_pressure|visual_position|visual_texture,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F05_packet_visual_primary|sa_e16_F05_packet_visual_spatial|sa_e16_F05_packet_tactile_pressure,,,,,,,,,
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000086,spi_20260512055509_000087,True,F05,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_position|visual_texture,tactile_pressure|visual_position|visual_texture,1,1,0,,tactile_pressure|visual_position|visual_texture,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F05_packet_visual_primary|sa_e16_F05_packet_visual_spatial|sa_e16_F05_packet_tactile_pressure,,,,,,,,,
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000091,spi_20260512055509_000092,True,F05,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_position|visual_texture,,tactile_pressure|visual_position|visual_texture,1,1,1,tactile_pressure|visual_position|visual_texture,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F05_packet_visual_primary|sa_e16_F05_packet_visual_spatial|sa_e16_F05_packet_tactile_pressure,,,,,,,,,
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000093,spi_20260512055509_000094,True,F05,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_status,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F05_runtime_tool_binding_tool_attr,1,OK,1,tool_status,,tool_status,,1,0
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000096,spi_20260512055509_000097,True,F05,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_status,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F05_runtime_wrong_target_control_tool_attr,1,OK,1,tool_status,,,tool_status,1,0
sa_e16_F05_target,sa_e16_F05_distractor,spi_20260512055509_000099,spi_20260512055509_000100,True,F05,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F05_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055509_000101,spi_20260512055509_000102,True,F06,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_position|visual_texture,,tactile_pressure|visual_position|visual_texture,1,1,0,tactile_pressure|visual_position|visual_texture,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F06_packet_visual_primary|sa_e16_F06_packet_visual_spatial|sa_e16_F06_packet_tactile_pressure,,,,,,,,,
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055509_000106,spi_20260512055509_000107,True,F06,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_position|visual_texture,tactile_pressure|visual_position|visual_texture,1,1,0,,tactile_pressure|visual_position|visual_texture,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F06_packet_visual_primary|sa_e16_F06_packet_visual_spatial|sa_e16_F06_packet_tactile_pressure,,,,,,,,,
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055509_000111,spi_20260512055509_000112,True,F06,packet_attribute_folded_control,packet折叠对照,1,1,tactile_pressure|visual_position|visual_texture,,tactile_pressure|visual_position|visual_texture,1,1,1,tactile_pressure|visual_position|visual_texture,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F06_packet_visual_primary|sa_e16_F06_packet_visual_spatial|sa_e16_F06_packet_tactile_pressure,,,,,,,,,
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055509_000113,spi_20260512055509_000114,True,F06,runtime_tool_binding,runtime工具绑定,,1,,,,,,,tool_status,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F06_runtime_tool_binding_tool_attr,1,OK,1,tool_status,,tool_status,,1,0
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055509_000116,spi_20260512055509_000117,True,F06,runtime_wrong_target_control,runtime错误目标对照,,1,,,,,,,,tool_status,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F06_runtime_wrong_target_control_tool_attr,1,OK,1,tool_status,,,tool_status,1,0
sa_e16_F06_target,sa_e16_F06_distractor,spi_20260512055510_000119,spi_20260512055510_000120,True,F06,runtime_invalid_role_control,runtime非法角色对照,,1,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sa_e16_F06_runtime_invalid_role_control_tool_attr,0,INPUT_VALIDATION_ERROR,1,,,,,1,1
sa_e16_F07_target,sa_e16_F07_distractor,spi_20260512055510_000121,spi_20260512055510_000122,True,F07,packet_multimodal_bound,packet多来源绑定,1,1,tactile_pressure|visual_brightness|visual_position,,tactile_pressure|visual_brightness|visual_position,1,1,0,tactile_pressure|visual_brightness|visual_position,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F07_packet_visual_primary|sa_e16_F07_packet_visual_spatial|sa_e16_F07_packet_tactile_pressure,,,,,,,,,
sa_e16_F07_target,sa_e16_F07_distractor,spi_20260512055510_000126,spi_20260512055510_000127,True,F07,packet_wrong_anchor_control,packet错误锚点对照,1,1,,tactile_pressure|visual_brightness|visual_position,tactile_pressure|visual_brightness|visual_position,1,1,0,,tactile_pressure|visual_brightness|visual_position,1.0,1.0,1.0,1.0,1.0,1.0,1.0,sa_e16_F07_packet_visual_primary|sa_e16_F07_packet_visual_spatial|sa_e16_F07_packet_tactile_pressure,,,,,,,,,
