family,branch,branch_label,project,query,target_fact,distractor_fact,ap_current_input,ap_energy_summary,ap_memory_target,ap_memory_trace,ap_cfs,ap_emotion,ap_action,ap_prompt_line,ap_field_score,ap_branch_ok,ap_prompt_chars,ap_top_memory_count,ap_activation_count,ap_feedback_count,summary_memory_hit,summary_wrong_hit,summary_field_score,summary_chars,rag_memory_hit,rag_wrong_top,rag_field_score,rag_result_count,rag_top_id,rag_top_score,ap_advantage_vs_summary,ap_advantage_vs_rag,contrast_ok,all_ok
F01,direct_memory_handoff,直接记忆交接,蓝石计划,蓝石计划现在对应的记录是什么？,蓝石计划的验收口令是晨星-17,蓝石计划的旧口令是海雾-02,1,1,1,1,1,1,1,1,8,1,271,2,1,0,1,0,1,37,1,0,2,1,rag_F01_target,8,7,6,1,1
F01,paraphrase_state_handoff,改写查询交接,蓝石计划,我们上次约定的验收暗号是什么,蓝石计划的验收口令是晨星-17,蓝石计划的旧口令是海雾-02,1,1,1,1,1,1,1,1,8,1,270,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F01,conflict_energy_selection,冲突能量选择,蓝石计划,蓝石计划旧记录也在，帮我判断现在该采用哪条。,蓝石计划的验收口令是晨星-17,蓝石计划的旧口令是海雾-02,0,1,1,1,1,1,1,1,7,1,277,2,1,0,1,1,1,48,0,1,1,1,rag_F01_distractor,12,6,6,1,1
F01,action_feedback_handoff,行动反馈交接,蓝石计划,围绕蓝石计划，下一步应该怎么处理？,蓝石计划的验收口令是晨星-17,蓝石计划的旧口令是海雾-02,1,1,1,1,1,1,1,1,8,1,273,2,2,1,1,0,1,37,1,0,2,1,rag_F01_target,8,7,6,1,1
F02,direct_memory_handoff,直接记忆交接,琥珀备忘,琥珀备忘现在对应的记录是什么？,琥珀备忘的交付窗口是周三晚九点,琥珀备忘的草稿窗口是周一上午,1,1,1,1,1,1,1,1,8,1,277,2,1,0,1,0,1,37,1,0,2,1,rag_F02_target,8,7,6,1,1
F02,paraphrase_state_handoff,改写查询交接,琥珀备忘,那个交付时间最后定在什么时候,琥珀备忘的交付窗口是周三晚九点,琥珀备忘的草稿窗口是周一上午,1,1,1,1,1,1,1,1,8,1,276,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F02,conflict_energy_selection,冲突能量选择,琥珀备忘,琥珀备忘旧记录也在，帮我判断现在该采用哪条。,琥珀备忘的交付窗口是周三晚九点,琥珀备忘的草稿窗口是周一上午,0,1,1,1,1,1,1,1,7,1,283,2,1,0,1,1,1,48,0,1,1,1,rag_F02_distractor,11,6,6,1,1
F02,action_feedback_handoff,行动反馈交接,琥珀备忘,围绕琥珀备忘，下一步应该怎么处理？,琥珀备忘的交付窗口是周三晚九点,琥珀备忘的草稿窗口是周一上午,1,1,1,1,1,1,1,1,8,1,279,2,2,1,1,0,1,37,1,0,2,1,rag_F02_target,8,7,6,1,1
F03,direct_memory_handoff,直接记忆交接,星港资料,星港资料现在对应的记录是什么？,星港资料优先查阅第二章的接口表,星港资料旧索引指向附录C,1,1,1,1,1,1,1,1,8,1,277,2,1,0,1,0,1,37,1,0,2,1,rag_F03_target,8,7,6,1,1
F03,paraphrase_state_handoff,改写查询交接,星港资料,我要继续看那个接口表相关的材料,星港资料优先查阅第二章的接口表,星港资料旧索引指向附录C,1,1,1,1,1,1,1,1,8,1,277,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F03,conflict_energy_selection,冲突能量选择,星港资料,星港资料旧记录也在，帮我判断现在该采用哪条。,星港资料优先查阅第二章的接口表,星港资料旧索引指向附录C,0,1,1,1,1,1,1,1,7,1,283,2,1,0,1,1,1,46,0,1,1,1,rag_F03_distractor,12,6,6,1,1
F03,action_feedback_handoff,行动反馈交接,星港资料,围绕星港资料，下一步应该怎么处理？,星港资料优先查阅第二章的接口表,星港资料旧索引指向附录C,1,1,1,1,1,1,1,1,8,1,279,2,2,1,1,0,1,37,1,0,2,1,rag_F03_target,8,7,6,1,1
F04,direct_memory_handoff,直接记忆交接,银杏任务,银杏任务现在对应的记录是什么？,银杏任务需要先确认本地缓存再联网,银杏任务曾经误写成直接联网,1,1,1,1,1,1,1,1,8,1,311,2,1,0,1,0,1,38,1,0,2,1,rag_F04_target,8,7,6,1,1
F04,paraphrase_state_handoff,改写查询交接,银杏任务,处理这个任务前第一步是什么,银杏任务需要先确认本地缓存再联网,银杏任务曾经误写成直接联网,1,1,1,1,1,1,1,1,8,1,309,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F04,conflict_energy_selection,冲突能量选择,银杏任务,银杏任务旧记录也在，帮我判断现在该采用哪条。,银杏任务需要先确认本地缓存再联网,银杏任务曾经误写成直接联网,0,1,1,1,1,1,1,1,7,1,317,2,1,0,1,1,1,48,0,1,1,1,rag_F04_distractor,11,6,6,1,1
F04,action_feedback_handoff,行动反馈交接,银杏任务,围绕银杏任务，下一步应该怎么处理？,银杏任务需要先确认本地缓存再联网,银杏任务曾经误写成直接联网,1,1,1,1,1,1,1,1,8,1,313,2,2,1,1,0,1,38,1,0,2,1,rag_F04_target,8,7,6,1,1
